Occupant,,user who spends a significant proportion of their time in or about a facility,BS8636-1
Occurance,,"State that is dynamic and is an interaction over time between involved things, each with its own role",ISO 16354
Occurance Object,,Representation of an actual occurrence (instance) of an object in a building,"BS 8541-1, BS 8541-3, BS 8541-4"
Operability,,capable of being put into use as intended,BS8636-1
Operation Information,,Information specifying operational activity associated to Types,BS1192-4
Operational Strategy,,overall approach to managing the production or use of an asset/facility,BS8636-1
Operationis team,,functional group responsible for the day-to-day running and maintenance of an asset/facility,BS8636-1
Operator,,Organization that uses an asset to create value but does not own the asset,PAS1192-3
Organization,,"Group of people and facilities with an arrangement of responsibilities, authorities and relationships","PAS1192-3, PAS1192-5"
Organization Information Requirements,OIR,Data and information required to achieve the organization?s objectives,"PAS1192-3, BS8636-1"
Origin,,As the setting out point for a project or programme using co-ordinate geometry or related to the OS or geospatial reference,PAS1192-2 Back
Originator,,Agent responsible for production of a container,"BS1192, PAS1192-2 Back"
Owner,,Organization that owns an asset and uses the asset either directly or indirectly to create value,PAS1192-3
Parametrizable Primitive Solid,,"Model of a defined primitive solid, e.g. a block, cylinder, sphere or cone whose dimensions are represented by parameters to generate variants",ISO/DSI 16757-2
Part-of Relation,,Relation between two construction objects where one object constitutes the whole and the other a part of that whole,ISO 12006
Performance,,ability to fulfil required functions under intended use conditions or behaviour when in use,"BS8636-1, ISO 15392"
Personally Identifiable Information,,Personal data as defined in the Data Protection Act 1998,PAS1192-5
Personnel,,"Individuals employed by an organization, including contractors or temporary staff used to fulfil roles that may be undertaken by that organization",PAS1192-5
Physical Object,,"Individual thing that has a physical nature with a limited lifespan; it may be materialized (and then it may be observable and touchable) or it may be imagined (having deemed aspects, as-if observable)",ISO 16354
Physical Object - Aspect Relation,,Relation between a kind of physical object and a kind of aspect that specifies that the physical objects of the specified kind can have or has by definition an aspect of the specified kind R1 role player: physical object R2 role player: aspect/R1 role: possessor R2 role: possessed/R1-R2 expression: can have as aspect a R2-R1 expression: can be an aspect of a,ISO 16354
Placeholder,,Simplified or generic representation of a 3D object,PAS1192-2 Back
Plain Language Questions,PLQ,Questions asked of the supply chain by the employer to inform decision-making at key stages of an asset life cycle or project,PAS1192-3
Platfrom as a Serivce,PAAS,,OBE
Port,,"Located, oriented and directed feature of the product's geometry model for connecting the product to transfer media, fastening other products or executing treatment",ISO/DSI 16757-2
Portable Document Format (File Format),PDF,Portable Document Format. A standard document format from Adobe Systems for transfer between different computer systems,PAS1192-2 Back
Post-occupancy Evaluation,POE,process of evaluating an asset/facility after it has been completed and is in use to understand its actual performance against that required and to capture lessons learned,BS8636-1
Pre-design Process,,Construction process determining construction properties for the built environment before it is designed,ISO 12006-2
Procedure,,Specified way to carry out an activity or a process,ISO 22263
Process,,Set of interrelated or interacting activities which transforms inputs and outputs,ISO22263
Process Map,PM,Representation of the relevant characteristics of a process associated with a defined business purpose,ISO/DSI 29481-1
Procurement (Construction Related),,"commissioning of goods, works and services in relation to a construction related project",PAS 91
Product,,"Orderable, technical entity",ISO/DSI 16757-1
Product Catalouge,,Compilation of information about products,ISO/DSI 16757-1
Product Delcaration,,Data related to a product provided or verified by a distinct independent declaration scheme to support specification and selection,BS 8541-6
Product Group,,Set of products described by common properties,ISO/DSI 16757-1
Product Index,,"Compilation of references to all property values of a defined product, the product description, the product geometry, and the product article numbers",ISO/DSI 16757-1
Product Object,,"Type object intended to represent an obtainable product, either as a requirement or exemplar or as-built","BS 8541-1, BS 8541-3, BS 8541-4"
Product Series,,"Types of products, defined by the manufacturer, which are commonly constructed and manufactured",ISO/DSI 16757-1
Product Shape,,Geometric representation of the space defined by the product's external boundaries,ISO/DSI 16757-2
Product Surface,,Coloured and textured outer boundary of the product's shape whose rendered appearance responds to the relative lighting and viewing angles,ISO/DSI 16757-2
Production Process,,Construction process resulting in built environment,BSI 12006-2
Project,,"Unique process consisting of a set of coordinated and controlled activities with start and finish dates, undertaken to achieve an objective conforming to specific requirements, including the constraints of time, cost and resources to effect change to the physical or operational aspects of a facility","ISO 12911, ISO 22263"
Project Delivery Team,,"group of organizations or individuals contracted either directly or indirectly to deliver services or products to the project, and personnel from the employer or asset owner who are directly involved in the management, planning and delivery of the project","PAS1192-2 Front, PAS1192-2 Back, PAS1192-5"
Project Execution Plan,,high-level statement of the intentions and arrangements for a project,BS8636-1
Project Implementation Plan,PIP,Statement relating to the suppliers? IT and human resources capability to deliver the EIR,"PAS1192-2 Front, PAS1192-2 Back"
Project Information Model,PIM,"Information model developed during the design and production and construction phase of a project, consisting of graphical information, non- graphical information and documentation defining the delivered project","PAS1192-2 Front, PAS1192-2 Back, PAS1192-3, BS8636-1"
Promoter,,"Algorithm that generates an interaction schema for an interaction framework, interaction framework schema, and templates file for input",ISO/DSI 29481-2
Property,,Defined parameter suitable for the description and differentiation of products,ISO/DSI 16757-1
Property Set,,"Grouping of properties that belong together based on some principle, e.g. viewpoint, lifecycle stage",ISO 15686
Published/Documentation,,"Component of the CDE for drawing renditions that have been approved as suitable for a specific purpose - for example, suitable for construction",BS1192-2 Back
Purpose of Issue,,States the purpose for issuing the document,BS1192-2 Back
Purposes,,Those aspects of the Facility that are intended to be managed by the facility owner,BS1192-2 Back
Qualification Relation,,Kind of specialization relation that relates two concepts whereby the subtype is a qualitative concept and the supertype is a conceptual concept R1 role player: qualitative concept R2 role player conceptual concept/R1 role: qualifier R2 role: nature/R1-R2 expression: is a qualification of R2-R1 expression: is the nature of,ISO 16354
Quality,,Degree to which a set of inherent characteristics fulfils requirements,"ISO 22263, BS8536-1, ISO 9001"
Quantity Set,,Grouping of characteristic measure properties,ISO 15686-4
RACI Indicator,,"Abbreviation used to identify which of a group of participants or stakeholders are responsible for ('R'), authorize ('A'), contribute to ('C') or are to be kept informed about ('I') a project activity","PAS1192-2 Front, PAS1192-2 Back"
RAG Report,,"performance report summarizing a series of assessments as red (does not meet requirement), amber (does not meet requirement but plan in place to bring up to standard), or green (meets requirement)",PAS1192-3
Record,,Document stating results achieved or providing evidence of activities performed,ISO 22263
Red Amber Green,RAG,,
Reference File,,CAD model file associated or linked with another CAD model file. Also referred to as an 'X-ref',PAS1192-2 Back
Relation,,Concept that expresses a fact or opinion about a fact by specifying the things that are involved in the fact and the roles that the various involved things play in the fact,ISO 16354
Relation Between an Individual Thing and a Kind of Thing,,,ISO 16354
Relation Between Kinds of Things,,"Relation that specifies knowledge or requirements or permissions in general terms about what can be the case, shall be the case, is allowed to be the case or is by definition the case",ISO 16354
Rendition,,"Documentation in a form enabling the information to be viewed, printed and marked up. For example, PDF and DWF fi les are documentation consisting of snapshots of",PAS1192-2 Back
Representation,,scale view of an object,BS 8541-2
Representation Object,,Object that represents a product or a part of it as a whole,ISO/DSI 16757-1
Requirements,,Requirements are the documented expectations of facility owners/commissioners for sharable structured information. These are also referred to as the Employers Information Requirements (EIR) ,PAS1192-2 Back
Resource,,Named material or skill required to execute Jobs,
Review,,"Activity undertaken to determine the suitability, adequacy and effectiveness of the subject matter to achieve established objectives",
Revision,,"Used to identify revisions of documents, drawing and model files",PAS1192-2 Back
Risk Appetite,,Function of an organization's capacity to bear risk,PAS1192-5
Role,,Functions being performed by an actor at a point in time,ISO 16354
Role of a Physical Object,,Role that a physical object plays in a relationship or the contribution that a physical object delivers in an occurrence,ISO 16354
Scale,,"Kind of relation that is used to classify relations between physical properties and numbers, thus indicating a method for quantifying sizes or extents of aspects by mathematical values or ranges",ISO 16354
Scope of Work,,"design, construction work and/or installation, testing and commissioning, handover and start-up activities necessary to deliver an operational asset/facility",BS8636-1
Security Management,,"Role in connection with the project or the management of the asset which is responsible for security of the built asset and associated asset information during the design, construction, operation and maintenance, and disposal or decommissioning of a built asset",PAS1192-5
Security-minded,,"Understanding and routine application of appropriate and proportionate security measures in any business situation so as to deter and/or disrupt hostile, malicious, fraudulent and criminal behaviours or activities",PAS1192-5
Sensitive Built Asset,,"Built asset, as a whole or in part, that may be of interest to a threat agent for hostile, malicious, fraudulent and/or criminal behaviours or activates",PAS1192-5
Sensitive Information,,"Information, the loss, misuse or modification of which, or unauthorized access to, could: adversely affect the privacy, welfare or safety of an individual or individuals; compromise intellectual property or trade secrets of an organization; cause commercial or economic harm to an organization or country; and/or jeopardize the security, internal and foreign affairs of a nation, depending on the level of sensitivity and nature of the information",PAS1192-5
Shared,,"Component of the CDE. The shared section of the CDE is where information can be made available to others in a 'safe' environment. The early release of information assists in the rapid development of the design solution. To allow this to be achieved, the concept of information 'status/suitability' has been adopted",PAS1192-2
SI System,,Le Systï¿½me International d?Unitï¿½s. International system of units,PAS1192-2
Simplified Representation,,"scale view incorporating only the essential shape, size or features of an object",BS 8541-2
Smart,,"Application of autonomous or semi-autonomous technology systems to achieve greater utilization of resources, limiting or reducing per capita resource consumption to maintain or improve quality of life",PAS1192-5
Smart City,,"Effective integration of physical, digital and human systems in the built environment to deliver a sustainable, prosperous and inclusive future for its citizens",PAS1192-5
Smart Grid,,"Electricity network that uses information and communications technology (ICT) to integrate the actions of all users connected to it ? generators, consumers and those that do both ? in order to efficiently deliver sustainable, economic and secure electricity supplies",PAS1192-5
Soft Landings,,"Process for the graduated handover of a new or refurbished asset/facility, where a defined period of aftercare by the design","PAS1192-2 Front, PAS1192-2 Back"
Solid Modelling,,Method to describe shapes and surfaces by a computer model by joining solid primitives,ISO/DSI 16757-2
Space,,Limited three-dimensional extent defined physically or notionally,ISO 12006-2
Space (Location),,"Named location for activities such as use, inspection or maintenance, including un?occupied or un?inhabitable Spaces, but not necessarily inaccessible voids",BS1192-4
Spare,,named replaceable part associated to Types,BS1192-4
Specialization Relation,,Relation between kinds of things that relates two concepts whereby the subtype concept is a more specific concept than the supertype concept and has all the aspects that define the supertype concept R1 role player: concept/ R2 role player: concept R1 role: subtype/R2 role:supertype R2 expression/R2-R1 expression is a specialization of/is a generalization of,ISO 16354
Specification,,Document stating requirements,"ISO 22263, BS 8541-4"
Stage,,"division of a standardized process map for the acquisition of a facility, at some of which the requirements can be delivered",BS8636-1
Stakeholder,,"person, group or organization that has interests in, or can affect, be affected by or perceive itself to be affected by, any aspect of the project","BS8636-1, ISO 21500"
Standard Font,,Agreed set of font types and sizes to be used for the project,PAS1192-2 Back
Standard Layering Convention,,Single layering convention used by the project team,PAS1192-2 Back
Standard Method and Procedure,SMP,"Set of standard methods and procedures covering the way information is named, expressed and referenced","PAS1192-2 Front, PAS1192-2 Back"
Static Property,,Technical property that is independent of the operating conditions of the building services system in which the product is installed and which gets its fixed value from the catalogue,ISO/DSI 16757-1
Status,,"Defines the 'suitability' of information in a model drawing or document. Not to be confused with the status in architectural documentation as 'new build?, 'retain' or 'demolish'",PAS1192-2 Back
Sub-consultant,,"Entity engaged on consultancy work, directly under the control of a consultant",PAS 91
Sub-contractor,,Entity engaged to undertake work for a contractor as part of a larger project being undertaken by that second entity,PAS 91
Sub-Model,,model included as an instance in another model,BS1192
Supplier,,Provider of services or goods either directly to the employer or to another supplier in a supply chain,"PAS1192-2 Front, PAS1192-2 Back, PAS 91"
Supplier Information Modelling Assessment Form,,The form conveying the capability and experience of a supplier to carry out information modelling in a collaborative environment,"PAS1192-2 Front, PAS1192-2 Back"
Supplier Information Technology Assessment Form,,The form conveying the capability and IT resources of a supplier for exchanging information in a collaborative environment,"PAS1192-2 Front, PAS1192-2 Back"
Supplmentary Information,,additional descriptive information associated to the assets,BS1192-4
Supply Chain,,"sequence of all entities engaged directly or indirectly by a client to contribute goods, works and services to a construction related project",PAS 91
Supply Chain Capability Assessment Form,,Form summarizing the human resource and IT capability of each organization in a supply chain,"PAS1192-2 Front, PAS1192-2 Back"
Symbol,,graphic device without scale used: a) on a drawing to indicate the occurrence and/or location of an item; b) in an annotation to indicate one or more of the attributes of an item,BS 8541-2
Symbol Element (Element),,"Graphic device without scale used only in combination with a symbol (or symbols) or with other elements, to form a symbol",BS 8541-2
Synonym Relation,,"Relation between two naming relations that relates an object with a particular name in one context with the same object with another (or the same) name in another context in the same language R1 role player: naming relation R2 role player: naming relation/R1 role: synonym R2 role: base/ R1-R2 expression: is s synonym of, is an abbreviation of R2-R1 expression: is a synonym for, is abbreviated by",ISO 16354
System,,named set of manageable Components providing a common function,PAS1192-2 Back
System (IFC),,"Organized combination of related parts, composed for a common purpose or function or to provide a service. System is essentially a functionally related aggregation of products",PAS1192-2 Back
System Engineering,,Interdisciplinary approach enabling the realization of successful systems,PAS1192-2 Back
Task,,Set of activities normally under the responsibility of one agent,ISO 22263
Task Information Delivery Plan,TIDP,"Federated lists of information deliverables by each task, including format, date and responsibilities","PAS1192-2 Front, PAS1192-2 Back"
Technical Property,,"Property which is used to represent technical data and functions for designing, calculating, and simulating the product",ISO/DSI 16757-1
Template Object,,Type object intended to guide the production of generic objects and product objects by providing schedules of classification values and a minimum set of attributes,"BS 8541-1, BS 8541-3, BS 8541-4"
Templates File,,"File containing a number of templates, independent of the interaction framework, for generating an interaction schema",ISO/DSI 29481-1
Term,,"(1)verbal designation of a concept or individual thing in a specific subject field (adapted from ISO 1087-1:2000) (2)role of a physical character string or sound that may include spaces and silences, respectively, that is used to designate a concept (e.g. a kind of physical object or aspect) or to designate an individual thing in a particular language (coding system) and language community",ISO 16354
Tester,,testing body,BS 8541-6
Third Party Capability Assessment Form,,"Form conveying the information management and IT capabilities of non-design, non-construction organizations in a supply chain",PAS1192-2 Front
Threat,,Potential cause of an incident which may result in harm to a system or organization,PAS1192-5
Traceability,,"Ability to trace the history, application or location of that which is under consideration",ISO 22263
Transaction,,A communication event that fulfils a relationship between two roles,ISO/DSI 29481-1
Transaction Map,,Representation of a set of messages that are exchanged between participating roles for a particular purpose,ISO/DSI 29481-1
Transaction Relation,,Relation between two naming relations that relates an object with a particular name in one language with the same object with another (or the same) name in another language R1 role player: naming relation R2 naming relation/R1 role: translation R2 role: base/R1-R2 expression: is a translation of R2-R1 expression: is translated by,ISO 16354
Trigger,,Planned or unplanned event that changes an asset or its status,PAS1192-3
Trigger-related Event,,Response to a trigger and the reflection of the altered state of the asset in the AIM,PAS1192-3
Type,,"named specification for Components including equipment, products and materials",BS1192-4
Type (Library) Object,,"Representation of the common features of a product or group, including its classifications and properties","BS 8541-1, BS 8541-3, BS 8541-4"
Type-of Relation,,Relation between two concepts where the intention of one of the concepts includes that of the other concept and at least one additional delimiting characteristic,ISO 12006
Uniclass,,"Unified classifications for the construction industry sponsored by CC, RICS, RIBA and CIBSE. The classification system is based on CI/SfB, CAWS and other relevant documents. Complying with BS ISO 12006-2",PAS1192-2 Back
Unique Identifier,UID,"Role of a character string when used for unambiguous reference to a concept or to an individual thing (e.g. a physical object or an aspect or a fact or a relation type) and that is unique within a particular common context, preferably in a universal context",ISO 16354
Unit of Measure,,Scale that specifies how the size or extent of an aspect is unambiguously quantified by a value on a mathematical range,ISO 16354
User,,Individual occupying or using a built asset for its design purpose,"PAS1192-2 Front, PAS1192-2 Back"
Utilization Ratio,,Proportion of time that the facility or the product is expected to be fully utilized,ISO 15686-4
Validation,,"Confirmation, through the provision of objective evidence, that the rquirements for a specific intended use or application have been fulfilled",ISO 22263
Verification,,"confirmation, through the provision of objective evidence, that specified requirements have been fulfilled",ISO 22263
Version,,"Sub-indexing to revision as used in the common data environment to show the development of information and information models, e.g. if a version is named P1.1, P1 is the revision number and .1 is the version to that revision",PAS1192-2 Back
Virtual Construction Model,,Subsequent version of the Project Information Model developed from the design intent model by the construction supplier and their supply chain,"PAS1192-2 Front, PAS1192-2 Front"
Volume,,"Manageable spatial subdivision of a project, defined by the 'project team' as a subdivision of the overall project that allows more than one person to work on the project models simultaneously and consistent with the analysis and design process","PAS1192-2 Front, PAS1192-2 Front"
Voorwaarden Scheppen Voor Invoeren Standaardisatie ICT in de Infrastructure-sector,VISI,Acronym for Dutch standard for communication between partners in construction projects,ISO/DSI 29481-1
Vulnerability,,weakness of an asset or group of assets that can be exploited by one or more threats,PAS1192-5
Work in Progress,WIP,Component of the CDE,PAS1192-2 Back
Work Result,,View of construction result by type of work activity and resources used,ISO 12006
X-Ref,,CAD model file associated or linked with another CAD model file. Also referred to as a 'reference file',PAS1192-2 Back
Zone,,"named set of Spaces (locations) sharing a specific Attribute, such as activity, access, management or conditioning",BS1192-4
